"support_biden","biden","syn_biden","sanders","syn_sanders","support_sanders","support_harris","harris","syn_harris","orourke","syn_orourke","support_orourke","booker","syn_booker","support_booker","klobuchar","syn_klobuchar","support_klobuchar","warren","syn_warren","support_warren","hickenlooper","syn_hickenlooper","support_hickenlooper","gillibrand","syn_gillibrand","support_gillibrand","delaney","syn_delaney","support_delaney","castro","syn_castro","support_castro","deblasio","syn_deblasio","support_deblasio","gabbard","syn_gabbard","support_gabbard","buttigieg","syn_buttigieg","support_buttigieg","inslee","syn_inslee","support_inslee","ryan","syn_ryan","support_ryan","moulton","syn_moulton","support_moulton","swalwell","syn_swalwell","support_swalwell","yang","syn_yang","support_yang","williamson","syn_williamson","support_williamson","gravel","syn_gravel","support_gravel","bullock","syn_bullock","support_bullock","bennet","syn_bennet","support_bennet","messam","syn_messam","support_messam","rowid"
24,24,9.69849308607273,23,13.1717126946479,23,2,2,4.459343154532,12.5,6.25648464408346,7.62466862614675,1,6.45314169902355,1,22,11.2709818076407,22,4,4.17504445359311,4,12.5,12.6015411358388,9.10491854449477,12.5,13.3834452520534,9.57826460064478,12.5,13.9028675821453,13.584380461428,5,9.78500056954228,5,20,16.7449663151506,20,12.5,17.0619955767648,16.1168854849875,3,1.9394404451807,3,12.5,12.6628962264681,15.2004477728844,12.5,13.2244323065357,11.7031994161583,12.5,14.0212073392262,15.7193056616632,12.5,15.1800115194194,17.1003827571423,12.5,12.7248104529826,15.3926608740163,12.5,16.4409290603846,14.1600005908914,21,17.1218723808651,21,12.5,13.0293064497572,12.4659146238883,12.5,13.0632066398237,16.4387749301504,12.5,13.8550172963758,9.85949265383213,11
2,2,10.9157511529318,12.5,12.1346793599399,13.9514188287495,11.9363198633198,12.5,10.9726165678263,12.5,8.7707115497137,9.86601162903314,12.5,12.2003416958011,12.8683671818777,12.5,11.5252731056974,9.20759120153293,3,4.29006058155871,3,12.5,13.5373011449537,11.5015842771142,12.5,12.780937982193,8.62953672660947,5,12.945617476324,5,12.5,12.4713360642926,13.3866082821578,12.5,16.4025486492647,13.9817003650727,24,15.5805790158377,24,1,6.208659943187,1,4,11.5297568297196,4,12.5,12.9274373814103,11.197343989298,12.5,14.1050451294215,15.8760173692252,12.5,13.2751467367547,14.1713768442303,20,14.2985992490859,20,22,15.1522328187058,22,12.5,12.9914451164058,9.05165958189146,21,12.8842968449907,21,12.5,13.1170660969923,16.5772026583278,23,15.6839764286789,23,12
10.8522663308889,12.5,7.88920691842595,12.5,9.67320036305077,11.8412962345779,13.6287342934097,12.5,13.1099501125627,12.5,10.4144445927112,11.3313406119843,12.5,8.75579573647043,9.55125839591125,12.5,11.7779823253268,9.52551167926214,12.5,12.4166810960238,12.6896018833628,12.5,12.6015411358388,9.10491854449477,12.5,11.8526516303016,7.16782633541366,12.5,11.7056668984453,9.81340577603606,12.5,13.6435189301899,15.1623836120092,12.5,11.107248841571,6.64398225456703,12.5,8.77890348063568,8.06150136176593,12.5,14.0831015421573,15.1284938741251,12.5,13.2271076626744,16.0889149580841,12.5,12.3872808146345,10.2773244618855,12.5,12.496481569983,12.8692498776857,12.5,13.2167819724558,14.0816325530381,12.5,12.6641023806619,15.3208882373852,12.5,11.9610172351213,7.60412851538042,12.5,12.3927063302522,8.10743125595036,12.5,12.8842968449907,12.1930341975278,12.5,11.7460442387239,13.0534493362788,12.5,12.3386917916348,7.21464924600694,13
24,24,12.6560560966765,22,16.0679649341039,22,16.0539411484546,12.5,16.1727200063035,12.5,13.0436173723597,13.6751537339616,12.5,15.4478704054712,15.9957477257037,12.5,12.3259259561443,10.2148513920501,23,11.9146735909654,23,12.5,13.3369547684579,10.9884577376971,12.5,12.0611828716886,7.49618652492125,2,10.5187862708319,2,12.5,13.1383189889838,14.3970409181886,12.5,13.0444570246489,9.32837937749061,12.5,12.0815008143308,11.2733079936968,12.5,15.7301953210577,16.2333038000167,12.5,13.8729122893558,17.1058674373082,1,11.5736069715076,1,12.5,10.7312235446431,9.5695851466111,12.5,14.4231054565742,15.9365298927458,12.5,13.1590554333138,15.9060507081973,12.5,12.7931412143823,8.82185300902695,12.5,13.0216205464808,9.09924710500378,3,11.9071328062748,3,12.5,10.3703167931289,9.51760187519444,12.5,12.2242192677797,7.01498110143742,14
1,1,4.64868833007453,20,10.8411435966552,20,4,4,5.44038893985944,5,9.28100836958591,5,12.5,12.4350010272222,13.0943448692584,12.5,12.3075954447275,10.1917907179869,3,5.8984679496882,3,12.5,12.6015411358388,9.10491854449477,12.5,12.6011374215085,8.34641681715488,12.5,12.5711469571832,11.2987973547043,12.5,12.911853271663,14.0539611432019,12.5,14.4814240181335,11.3195902843727,12.5,14.1614762789217,13.2961034835581,2,3.64863410922518,2,21,13.7109557127926,21,23,13.0923333953672,23,12.5,14.7636708456402,17.1071371350552,24,14.3056201695185,24,12.5,13.0730222773767,15.8043372753168,12.5,14.306849979661,11.0370039789154,22,14.270121528628,22,12.5,12.8842968449907,12.1930341975278,12.5,13.1170660969923,16.5772026583278,12.5,13.0672365854844,8.48540996940963,15
3,3,3.96960990993695,4,9.52028801947217,4,10.6583507655648,12.5,9.35868195866373,12.5,12.1364682103851,12.8664628309199,12.5,12.0035078301395,12.6788155391153,12.5,11.7615510987857,9.50484039786106,1,9.0952511585771,1,12.5,13.5878660886349,11.6310910594217,12.5,13.5030592899044,9.76661282067781,12.5,12.6225001154668,11.3869328906793,12.5,13.4461668685063,14.8634089958219,20,16.8460217084206,20,12.5,13.2064754857382,12.3673563275692,2,8.70409489582588,2,12.5,13.1981665706269,16.043341244157,12.5,12.9274373814103,11.197343989298,22,13.0721085060689,22,12.5,12.5717997297204,13.089878797135,23,13.5940096228576,23,24,14.3485707715149,24,12.5,12.2695863712875,7.91326753141529,12.5,12.9136449908218,12.2482618120033,12.5,13.1170660969923,16.5772026583278,21,13.8075417129655,21,16
1,1,4.00413749723382,3,8.79638694907225,3,5,5,8.11531937626589,12.5,7.21455552737365,8.47875441519107,4,8.75398265847814,4,12.5,11.962247196461,9.75732584079377,2,12.4019808080284,2,12.5,12.734097853284,9.44442241219043,12.5,13.5091112257021,9.77614239894241,12.5,12.5123010479219,11.1978022859291,12.5,10.1048858679985,9.80160119822968,12.5,15.1339070917001,12.2237386875948,12.5,12.7434409367048,11.9170509209047,12.5,12.1391721911268,13.8245775642205,12.5,13.7410699378843,16.8982544833957,12.5,12.3607651011512,10.2321616781884,12.5,10.9597009170668,9.99666080173519,12.5,14.008998234928,15.2997799712712,12.5,12.9240851958053,15.628255139484,12.5,13.4266204722818,9.74888218711459,12.5,14.0192651654782,10.6725614288205,12.5,13.9710464010297,14.2380896452449,12.5,13.749303569985,18.2021577109014,12.5,12.5021116141992,7.49969347896755,17
3.00734888400417,3,7.64920507590826,24,16.2497771972472,24,16.6382118775501,12.5,16.9105897658028,23,14.0198010350073,23,12.5,15.7075417146726,16.2458120277584,12.5,12.9639647619116,11.0175352127545,12.5,13.0939901045626,13.1194058400251,12.5,12.6015411358388,9.10491854449477,12.5,12.6843746517356,8.47748491280164,12.5,11.3165575031478,9.14559163852892,12.5,13.0887477774499,14.3219439882865,12.5,13.4536375691519,9.89538249363213,12.5,12.3708157306008,11.5546694413404,12.5,12.1184576307713,13.8106829990267,12.5,13.5671347695788,16.6243577144279,12.5,13.9838844099075,12.9967331954608,12.5,13.4407382025431,14.634278141439,12.5,14.2152964379359,15.6169933829172,12.5,14.0572689899924,16.9679713516336,12.5,13.6178603043202,10.0287412386959,12.5,12.3346376487183,8.01585527119309,12.5,12.4730035916012,11.4190587182838,12.5,11.6005010923576,12.6793793370173,12.5,13.2218313998359,8.75506122459392,18
15.0572952901837,12.5,13.4622040821805,12.5,16.6544567986135,17.8260342555014,16.0264714895772,12.5,16.1380288441762,12.5,16.1119502249498,16.4104622911483,23,15.7660880082443,24,12.5,10.7402711691792,8.22002062123409,12.5,17.1384783097188,15.6859404812821,12.5,14.3258496677065,13.5212123917806,12.5,16.6527869003543,14.7262780880279,12.5,13.90276015354,13.5841960856657,12.5,12.544726069304,13.4977890237882,12.5,19.3155755163611,18.0182933390959,12.5,14.5465273670696,13.6705692490112,12.5,15.7875943476534,16.2718049558901,12.5,12.0211920155909,14.1899522434028,12.5,13.4784994298545,12.1359382350567,12.5,14.2951017988243,16.231276079245,12.5,13.6668922795364,14.7737424407843,12.5,12.9871816314187,15.702851439002,12.5,15.8028285893943,13.2262087614306,12.5,12.0358096306824,7.54459487226854,12.5,13.0293064497572,12.4659146238883,12.5,13.0809169621267,16.484293392656,12.5,13.5369321774388,9.30467422776365,19
4,4,10.6966028121884,24,13.1708901994485,24,10.940114415247,12.5,9.71451850167954,1,13.1867806333898,1,3,12.4324590530228,3,12.5,12.5870111317192,10.5433092293563,5,10.6610223302406,5,12.5,13.8144935348336,12.2115285958464,12.5,12.4938141105859,8.17742198223841,12.5,15.2927363880503,15.9697611514875,12.5,11.9090469556665,12.5347794793388,12.5,13.4004909171375,9.82173696549185,12.5,14.6898877052103,13.8099885115711,2,9.58805703616488,2,12.5,12.7702025823844,15.3694237451476,12.5,13.2244323065357,11.7031994161583,12.5,13.0721085060689,13.9452262346796,12.5,12.3932569794446,12.8153434201231,23,13.4130270762145,23,12.5,13.1387851497872,9.32766596083831,12.5,12.3212377477218,7.99472324103521,12.5,13.1212378806269,12.6389120476939,12.5,12.9115671472214,16.0490363110405,12.5,12.6328276940106,7.72769436723649,20
