"term","estimate","std.error","statistic","p.value"
"as.factor(state)CO",1.49823602673321,0.21271033546326,7.04355067406675,1.87401801796227e-12
"as.factor(state)FL",0.507058410203435,0.21502469982875,2.35814030019466,0.0183667498770022
"as.factor(state)GA",0.367725996253863,0.129012146807849,2.85032072833852,0.00436751634209388
"as.factor(state)IA",1.15435321817349,0.172060099950123,6.70901166806318,1.95947002107059e-11
"as.factor(state)ID",1.26727395548526,0.243145253417898,5.21200367957492,1.868118430419e-07
"as.factor(state)IN",1.00773243835661,0.159540709547925,6.31645954949131,2.67623455666986e-10
"as.factor(state)KS",0.874084329436208,0.160629269811298,5.44162549243395,5.27965799981834e-08
"as.factor(state)KY",1.20749827763576,0.145420487895293,8.30349488653339,1.01092728295006e-16
"as.factor(state)LA",0.735791678797285,0.175208152848176,4.19952877098632,2.67471044059765e-05
"as.factor(state)MA",0.774452005628067,0.236898783253868,3.26912614320244,0.00107880195389833
"as.factor(state)MN",1.70000120284199,0.175382280047672,9.69311838333892,3.22527638680122e-22
"as.factor(state)MO",1.3691122863014,0.148810970672793,9.20034510971517,3.56801964301819e-20
"as.factor(state)MS",0.07573532995593,0.172259435215828,0.439658529363221,0.660184442754424
"as.factor(state)MT",0.78738702350377,0.223149181217576,3.52852302306253,0.000417885594610033
"as.factor(state)NC",0.852857283986732,0.127221281787401,6.70373126260381,2.03163750116191e-11
"as.factor(state)ND",0.983581677717276,0.239120635618254,4.11332830047976,3.89995135661531e-05
"as.factor(state)NE",0.951091492656037,0.179216620384377,5.30693799836294,1.11482076780575e-07
"as.factor(state)NM",1.68000742769737,0.301481026918488,5.5725146118452,2.51088424577571e-08
"as.factor(state)NV",0.0393595690157212,0.379133058980238,0.103814658425165,0.917316433586228
"as.factor(state)NY",0.684644291125051,0.193712069468516,3.5343398736253,0.000408795048031552
"as.factor(state)OH",1.08215760100973,0.1625659698222,6.6567289709728,2.79988804377477e-11
"as.factor(state)OK",0.5637095178734,0.195810111245736,2.87885806451518,0.00399117916730658
"as.factor(state)OR",0.742449471723767,0.200511353906742,3.70278020300576,0.000213249626055155
"as.factor(state)PA",0.986319282041835,0.180432206842956,5.46642586320693,4.59200351292049e-08
"as.factor(state)SC",0.0532465566440024,0.151393329871793,0.351710056771285,0.725055717664754
"as.factor(state)TN",0.620946952366971,0.133532824077396,4.65014468657584,3.31702243337118e-06
"as.factor(state)TX",-0.016001559956701,0.15356117244284,-0.104203163482991,0.917008123545337
"as.factor(state)UT",1.16168081458358,0.391834104863743,2.96472614344672,0.00302952485727949
"as.factor(state)WA",1.22895329649769,0.1925904199896,6.38117563980628,1.7573361048877e-10
"as.factor(state)WI",1.08293163194609,0.180350511976784,6.00459416541883,1.91811067776137e-09
"as.factor(state)WV",1.33867742251948,0.202370981124818,6.61496729955473,3.71633886846576e-11
"as.factor(state)WY",0.802043575269735,0.228929516685794,3.50345200951321,0.000459269403089664
